,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21954,77847,0025400288,"MAR 14, 1955",MIH vs. PHW,W,0,12,13.0,,,,,10,16,0.625,,,,,,,,5.0,34,,0
1,21954,77847,0025400287,"MAR 13, 1955",MIH @ SYR,W,0,4,,,,,,9,11,0.818,,,,,,,,5.0,17,,0
2,21954,77847,0025400271,"MAR 06, 1955",MIH @ MNL,W,0,6,14.0,0.429,,,,9,12,0.75,,,,,,,,3.0,21,,0
3,21954,77847,0025400265,"MAR 04, 1955",MIH vs. SYR,L,0,9,,,,,,7,10,,,,,,,,,2.0,25,,0
4,21954,77847,0025400261,"MAR 03, 1955",MIH @ NYK,L,0,5,,,,,,1,1,1.0,,,,,,,,2.0,11,,0
5,21954,77847,0025400260,"MAR 02, 1955",MIH @ PHW,L,0,9,,,,,,6,9,,,,,,,,,4.0,24,,0
6,21954,77847,0025400258,"MAR 01, 1955",MIH @ PHW,W,0,9,18.0,,,,,8,9,,,,12.0,2.0,,,,3.0,26,,0
7,21954,77847,0025400255,"FEB 28, 1955",MIH @ PHW,L,0,11,,,,,,13,18,,,,,,,,,3.0,35,,0
8,21954,77847,0025400253,"FEB 27, 1955",MIH @ BOS,L,0,5,,,,,,2,2,1.0,,,,,,,,1.0,12,,0
9,21954,77847,0025400249,"FEB 26, 1955",MIH @ NYK,W,0,11,,,,,,4,5,,,,24.0,,,,,4.0,26,,0
10,21954,77847,0025400243,"FEB 24, 1955",MIH @ FTW,L,0,5,,,,,,9,10,,,,,,,,,3.0,19,,0
11,21954,77847,0025400239,"FEB 23, 1955",MIH vs. BOS,W,0,13,,,,,,6,9,0.667,,,,,,,,5.0,32,,0
12,21954,77847,0025400238,"FEB 22, 1955",MIH vs. ROC,L,0,3,,,,,,1,5,,,,,,,,,5.0,7,,0
13,21954,77847,0025400233,"FEB 20, 1955",MIH @ FTW,L,0,10,,,,,,12,13,0.923,,,,,,,,4.0,32,,0
14,21954,77847,0025400230,"FEB 19, 1955",MIH @ ROC,W,0,10,16.0,,,,,7,10,,,,,,,,,5.0,27,,0
15,21954,77847,0025400222,"FEB 15, 1955",MIH @ BOS,L,0,9,,,,,,1,2,,,,,,,,,4.0,19,,0
16,21954,77847,0025400219,"FEB 14, 1955",MIH @ SYR,L,0,3,,,,,,6,7,,,,,,,,,2.0,12,,0
17,21954,77847,0025400217,"FEB 13, 1955",MIH @ FTW,L,0,10,,,,,,4,6,0.667,,,,,,,,4.0,24,,0
18,21954,77847,0025400213,"FEB 12, 1955",MIH @ SYR,L,40,2,,,,,,2,4,,,,,,,,,0.0,6,,0
19,21954,77847,0025400206,"FEB 09, 1955",MIH @ ROC,W,0,9,15.0,,,,,7,8,,,,,,,,,4.0,25,,0
20,21954,77847,0025400202,"FEB 08, 1955",MIH vs. PHW,W,0,6,,,,,,5,8,,,,,,,,,4.0,17,,0
21,21954,77847,0025400198,"FEB 06, 1955",MIH @ MNL,W,0,8,15.0,0.533,,,,2,2,1.0,,,,,,,,5.0,18,,0
22,21954,77847,0025400196,"FEB 05, 1955",MIH @ MNL,L,0,6,,,,,,4,4,,,,,,,,,3.0,16,,0
23,21954,77847,0025400188,"FEB 03, 1955",MIH @ ROC,L,0,11,,,,,,10,14,,,,,,,,,3.0,32,,0
24,21954,77847,0025400184,"JAN 31, 1955",MIH vs. ROC,W,0,5,,,,,,6,12,0.5,,,18.0,,,,,5.0,16,,0
25,21954,77847,0025400182,"JAN 30, 1955",MIH @ BOS,W,34,6,19.0,,,,,3,4,,,,,4.0,,,,1.0,15,,0
26,21954,77847,0025400177,"JAN 29, 1955",MIH @ NYK,L,0,6,,,,,,2,3,,,,,,,,,6.0,14,,0
27,21954,77847,0025400174,"JAN 27, 1955",MIH vs. MNL,W,0,2,,,,,,5,5,,,,,,,,,6.0,9,,0
28,21954,77847,0025400166,"JAN 24, 1955",MIH @ ROC,L,0,6,,,,,,6,8,,,,26.0,,,,,4.0,18,,0
29,21954,77847,0025400165,"JAN 23, 1955",MIH @ MNL,L,0,6,,,,,,1,2,0.5,,,,,,,,1.0,13,,0
30,21954,77847,0025400161,"JAN 22, 1955",MIH vs. FTW,L,0,9,,,,,,3,4,,,,23.0,,,,,2.0,21,,0
31,21954,77847,0025400157,"JAN 21, 1955",MIH @ MNL,L,0,5,,0.0,,,,11,12,0.917,,,,,,,,5.0,21,,0
32,21954,77847,0025400155,"JAN 20, 1955",MIH @ MNL,L,0,7,,,,,,9,10,,,,,,,,,4.0,23,,0
33,21954,77847,0025400154,"JAN 19, 1955",MIH @ MNL,L,0,6,,0.0,,,,4,8,0.5,,,,,,,,3.0,16,,0
34,21954,77847,0025400150,"JAN 16, 1955",MIH @ FTW,L,0,4,,,,,,5,5,1.0,,,,,,,,4.0,13,,0
35,21954,77847,0025400145,"JAN 15, 1955",MIH vs. PHW,L,0,4,,,,,,3,3,1.0,,,,,,,,5.0,11,,0
36,21954,77847,0025400142,"JAN 14, 1955",MIH vs. PHW,W,0,7,,,,,,6,6,,,,,,,,,5.0,20,,0
37,21954,77847,0025400135,"JAN 11, 1955",MIH vs. ROC,W,0,10,,,,,,11,14,0.786,,,,,,,,4.0,31,,0
38,21954,77847,0025400133,"JAN 09, 1955",MIH vs. SYR,W,0,7,,,,,,5,9,0.556,,,12.0,,,,,2.0,19,,0
39,21954,77847,0025400129,"JAN 08, 1955",MIH @ ROC,L,0,11,,,,,,12,17,0.706,,,,,,,,2.0,34,,0
40,21954,77847,0025400126,"JAN 07, 1955",MIH vs. NYK,W,0,11,,,,,,8,11,0.727,,,23.0,,,,,5.0,30,,0
41,21954,77847,0025400125,"JAN 06, 1955",MIH @ PHW,L,0,11,,,,,,5,7,0.714,,,,,,,,5.0,27,,0
42,21954,77847,0025400119,"JAN 05, 1955",MIH vs. FTW,W,0,12,24.0,,,,,9,11,,,,22.0,2.0,,,,4.0,33,,0
43,21954,77847,0025400118,"JAN 04, 1955",MIH vs. ROC,W,0,12,,,,,,12,18,,,,19.0,,,,,4.0,36,,0
44,21954,77847,0025400114,"JAN 02, 1955",MIH @ SYR,W,31,2,12.0,,,,,10,12,0.833,,,6.0,3.0,,,,4.0,14,,0
45,21954,77847,0025400111,"JAN 01, 1955",MIH @ NYK,L,0,7,,,,,,5,8,0.625,,,,,,,,2.0,19,,0
46,21954,77847,0025400108,"DEC 31, 1954",MIH vs. NYK,W,0,3,,,,,,4,4,,,,,,,,,0.0,10,,0
47,21954,77847,0025400094,"DEC 25, 1954",MIH vs. BOS,L,0,7,,,,,,2,4,0.5,,,,,,,,3.0,16,,0
48,21954,77847,0025400089,"DEC 19, 1954",MIH @ FTW,L,0,11,,,,,,2,3,0.667,,,,,,,,3.0,24,,0
49,21954,77847,0025400086,"DEC 18, 1954",MIH vs. NYK,L,0,3,,,,,,5,5,1.0,,,19.0,10.0,,,,5.0,11,,0
50,21954,77847,0025400083,"DEC 17, 1954",MIH @ BOS,L,39,8,22.0,,,,,4,4,,,,,4.0,,,,2.0,20,,0
51,21954,77847,0025400076,"DEC 12, 1954",MIH @ ROC,W,0,7,,,,,,1,2,,,,,,,,,2.0,15,,0
52,21954,77847,0025400072,"DEC 11, 1954",MIH vs. NYK,L,0,8,,,,,,3,3,1.0,,,,,,,,4.0,19,,0
53,21954,77847,0025400068,"DEC 08, 1954",MIH @ FTW,L,0,8,,,,,,8,10,,,,,,,,,3.0,24,,0
54,21954,77847,0025400063,"DEC 07, 1954",MIH @ FTW,L,0,5,,,,,,4,4,,,,,,,,,1.0,14,,0
55,21954,77847,0025400058,"DEC 05, 1954",MIH @ MNL,L,0,9,26.0,,,,,7,9,,,,,,,,,6.0,25,,0
56,21954,77847,0025400056,"DEC 04, 1954",MIH vs. MNL,W,0,5,,0.0,,,,12,14,0.857,,,,,,,,6.0,22,,0
57,21954,77847,0025400053,"DEC 03, 1954",MIH @ PHW,L,0,8,,,,,,7,10,,,,,,,,,4.0,23,,0
58,21954,77847,0025400050,"DEC 02, 1954",MIH vs. MNL,W,0,2,,0.0,,,,4,8,0.5,,,,,,,,4.0,8,,0
59,21954,77847,0025400047,"DEC 01, 1954",MIH @ BOS,L,0,10,23.0,,,,,9,10,,,,24.0,,,,,2.0,29,,0
60,21954,77847,0025400043,"NOV 30, 1954",MIH vs. BOS,L,0,6,,,,,,16,18,,,,,,,,,3.0,28,,0
61,21954,77847,0025400041,"NOV 28, 1954",MIH @ FTW,L,0,8,,,,,,3,4,0.75,,,,,,,,6.0,19,,0
62,21954,77847,0025400035,"NOV 25, 1954",MIH @ SYR,L,34,9,14.0,,,,,5,8,,,,15.0,0.0,,,,5.0,23,,0
63,21954,77847,0025400032,"NOV 24, 1954",MIH vs. ROC,L,0,7,,,,,,4,6,,,,,,,,,5.0,18,,0
64,21954,77847,0025400021,"NOV 14, 1954",MIH @ FTW,L,0,6,,,,,,5,7,0.714,,,,,,,,3.0,17,,0
65,21954,77847,0025400019,"NOV 13, 1954",MIH vs. SYR,W,43,8,24.0,,,,,5,8,0.625,,,19.0,3.0,,,,5.0,21,,0
66,21954,77847,0025400015,"NOV 11, 1954",MIH vs. BOS,W,0,5,,,,,,8,8,1.0,,,,,,,,2.0,18,,0
67,21954,77847,0025400013,"NOV 10, 1954",MIH @ ROC,L,0,10,18.0,,,,,5,7,,,,,,,,,4.0,25,,0
68,21954,77847,0025400012,"NOV 07, 1954",MIH @ SYR,L,48,8,21.0,,,,,7,11,,,,14.0,4.0,,,,4.0,23,,0
69,21954,77847,0025400009,"NOV 06, 1954",MIH @ MNL,L,0,7,,0.0,,,,4,5,0.8,,,,,,,,2.0,18,,0
70,21954,77847,0025400006,"NOV 02, 1954",MIH vs. NYK,L,0,3,,,,,,1,1,1.0,,,,,,,,6.0,7,,0
71,21954,77847,0025400003,"OCT 30, 1954",MIH vs. FTW,L,0,6,,,,,,5,9,,,,,,,,,3.0,17,,0
0,21955,77847,0025500290,"MAR 16, 1956",STL vs. MNL,L,0,7,23.0,0.304,,,,8,13,0.615,,,,,,,,3.0,22,,0
1,21955,77847,0025500284,"MAR 13, 1956",STL @ PHW,L,0,10,17.0,,,,,9,12,0.75,,,13.0,1.0,,,,0.0,29,,0
2,21955,77847,0025500283,"MAR 12, 1956",STL @ SYR,L,43,9,25.0,,,,,8,10,0.8,,,13.0,2.0,,,,4.0,26,,0
3,21955,77847,0025500279,"MAR 11, 1956",STL @ BOS,W,42,13,24.0,,,,,17,18,0.944,,,,4.0,,,,3.0,43,,0
4,21955,77847,0025500276,"MAR 10, 1956",STL vs. MNL,W,0,14,,,,,,6,8,0.75,,,14.0,,,,,5.0,34,,0
5,21955,77847,0025500274,"MAR 09, 1956",STL vs. MNL,W,0,14,,,,,,16,18,0.889,,,19.0,,,,,3.0,44,,0
6,21955,77847,0025500272,"MAR 08, 1956",STL @ SYR,L,36,3,22.0,,,,,4,8,,,,11.0,5.0,,,,4.0,10,,0
7,21955,77847,0025500269,"MAR 07, 1956",STL @ ROC,W,0,10,,,,,,8,10,0.8,,,,,,,,1.0,28,,0
8,21955,77847,0025500266,"MAR 06, 1956",STL vs. PHW,W,0,12,25.0,,,,,8,8,,,,19.0,1.0,,,,3.0,32,,0
9,21955,77847,0025500264,"MAR 04, 1956",STL @ MNL,L,0,4,,,,,,1,1,,,,,,,,,1.0,9,,0
10,21955,77847,0025500260,"MAR 03, 1956",STL vs. FTW,W,0,8,,,,,,2,5,0.4,,,25.0,,,,,3.0,18,,0
11,21955,77847,0025500255,"MAR 01, 1956",STL vs. ROC,L,0,9,,,,,,9,11,0.818,,,22.0,,,,,3.0,27,,0
12,21955,77847,0025500246,"FEB 27, 1956",STL @ NYK,L,0,10,,,,,,3,7,0.429,,,,,,,,5.0,23,,0
