,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21994,467,0029401106,"APR 23, 1995",DAL @ LAC,L,28,9,21,0.429,2,8,0.25,5,6,0.833,0,3,3.0,4,0,0,0,0,25,,0
1,21994,467,0029401089,"APR 21, 1995",DAL @ PHX,L,20,6,14,0.429,1,7,0.143,1,2,0.5,2,1,3.0,5,1,0,4,2,14,,0
2,21994,467,0029401077,"APR 20, 1995",DAL vs. SAN,L,33,4,12,0.333,2,4,0.5,0,0,0.0,1,11,12.0,13,2,1,5,0,10,,0
3,21994,467,0029401065,"APR 18, 1995",DAL vs. LAC,W,33,3,11,0.273,1,4,0.25,2,2,1.0,3,3,6.0,9,2,0,5,0,9,,0
4,21994,467,0029401051,"APR 16, 1995",DAL @ LAL,L,32,2,8,0.25,2,4,0.5,2,4,0.5,2,2,4.0,9,1,0,6,2,8,,0
5,21994,467,0029401041,"APR 15, 1995",DAL @ POR,W,34,3,10,0.3,1,5,0.2,2,6,0.333,1,2,3.0,10,2,0,3,3,9,,0
6,21994,467,0029401033,"APR 13, 1995",DAL @ SEA,L,23,4,9,0.444,3,6,0.5,2,2,1.0,2,2,4.0,4,2,0,5,3,13,,0
7,21994,467,0029401018,"APR 11, 1995",DAL @ HOU,W,49,12,27,0.444,8,12,0.667,6,10,0.6,4,7,11.0,10,3,0,3,4,38,,0
8,21994,467,0029401009,"APR 10, 1995",DAL vs. GOS,L,36,4,11,0.364,1,4,0.25,0,0,0.0,2,4,6.0,11,4,1,3,1,9,,0
9,21994,467,0029400997,"APR 08, 1995",DAL vs. SEA,L,29,2,10,0.2,1,5,0.2,4,4,1.0,3,2,5.0,10,2,0,3,1,9,,0
10,21994,467,0029400990,"APR 07, 1995",DAL vs. MIN,W,29,3,14,0.214,2,3,0.667,3,4,0.75,4,6,10.0,13,1,0,3,2,11,,0
11,21994,467,0029400975,"APR 05, 1995",DAL vs. LAL,W,33,8,16,0.5,3,6,0.5,0,0,0.0,2,8,10.0,12,1,1,3,2,19,,0
12,21994,467,0029400959,"APR 02, 1995",DAL @ BOS,L,9,0,3,0.0,0,1,0.0,0,0,0.0,2,0,2.0,5,1,0,2,0,0,,0
13,21994,467,0029400949,"MAR 31, 1995",DAL @ NYK,L,29,5,10,0.5,1,3,0.333,6,6,1.0,1,3,4.0,3,0,0,5,0,17,,0
14,21994,467,0029400938,"MAR 30, 1995",DAL @ CHH,W,33,6,11,0.545,0,2,0.0,1,2,0.5,1,2,3.0,4,1,1,7,0,13,,0
15,21994,467,0029400930,"MAR 28, 1995",DAL vs. MIL,W,24,3,8,0.375,1,3,0.333,2,2,1.0,1,4,5.0,9,1,0,3,2,9,,0
16,21994,467,0029400913,"MAR 25, 1995",DAL vs. UTH,W,33,7,16,0.438,1,5,0.2,6,8,0.75,3,2,5.0,7,2,0,3,0,21,,0
17,21994,467,0029400896,"MAR 23, 1995",DAL @ DET,W,31,6,12,0.5,3,8,0.375,0,0,0.0,2,1,3.0,7,1,1,3,1,15,,0
18,21994,467,0029400887,"MAR 22, 1995",DAL @ MIN,W,30,5,15,0.333,0,2,0.0,2,2,1.0,2,5,7.0,6,0,0,4,3,12,,0
19,21994,467,0029400872,"MAR 20, 1995",DAL @ CLE,W,47,8,16,0.5,1,4,0.25,3,5,0.6,1,4,5.0,9,5,2,3,2,20,,0
20,21994,467,0029400859,"MAR 18, 1995",DAL @ SAN,L,38,9,16,0.563,1,5,0.2,7,8,0.875,1,3,4.0,8,2,2,5,2,26,,0
21,21994,467,0029400848,"MAR 17, 1995",DAL vs. PHL,W,31,5,13,0.385,2,6,0.333,2,4,0.5,2,2,4.0,11,1,1,3,3,14,,0
22,21994,467,0029400831,"MAR 14, 1995",DAL @ SAC,W,33,4,15,0.267,1,4,0.25,1,1,1.0,0,1,1.0,6,0,0,1,0,10,,0
23,21994,467,0029400823,"MAR 13, 1995",DAL @ GOS,W,37,9,22,0.409,2,5,0.4,10,13,0.769,2,2,4.0,17,4,0,5,1,30,,0
24,21994,467,0029400812,"MAR 11, 1995",DAL @ HOU,L,37,8,22,0.364,2,4,0.5,5,6,0.833,1,2,3.0,7,2,1,1,2,23,,0
25,21994,467,0029400786,"MAR 08, 1995",DAL @ UTH,L,27,5,11,0.455,0,1,0.0,3,3,1.0,1,1,2.0,5,2,0,4,0,13,,0
26,21994,467,0029400782,"MAR 07, 1995",DAL vs. DEN,L,35,6,12,0.5,1,3,0.333,1,1,1.0,2,4,6.0,7,1,0,0,2,14,,0
27,21994,467,0029400764,"MAR 04, 1995",DAL vs. DET,L,34,3,15,0.2,0,3,0.0,4,6,0.667,2,5,7.0,7,1,0,1,3,10,,0
28,21994,467,0029400750,"MAR 02, 1995",DAL vs. CLE,W,34,6,14,0.429,0,2,0.0,6,6,1.0,3,3,6.0,8,0,0,3,0,18,,0
29,21994,467,0029400737,"FEB 28, 1995",DAL vs. HOU,W,34,5,13,0.385,1,4,0.25,7,9,0.778,4,6,10.0,7,1,1,4,3,18,,0
30,21994,467,0029400721,"FEB 26, 1995",DAL @ IND,L,35,7,9,0.778,1,2,0.5,1,2,0.5,0,2,2.0,9,3,1,3,0,16,,0
31,21994,467,0029400707,"FEB 24, 1995",DAL @ NJN,L,40,2,6,0.333,0,1,0.0,4,6,0.667,2,3,5.0,7,2,0,4,2,8,,0
32,21994,467,0029400683,"FEB 21, 1995",DAL @ WAS,W,14,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2.0,5,0,0,1,1,2,,0
33,21994,467,0029400662,"FEB 17, 1995",DAL vs. ATL,L,34,4,12,0.333,0,4,0.0,2,2,1.0,4,1,5.0,6,5,0,3,1,10,,0
34,21994,467,0029400632,"FEB 14, 1995",DAL vs. POR,W,31,5,7,0.714,0,1,0.0,3,8,0.375,2,6,8.0,5,3,2,0,4,13,,0
35,21994,467,0029400626,"FEB 08, 1995",DAL @ ORL,L,24,1,6,0.167,1,3,0.333,0,0,0.0,2,2,4.0,3,1,0,2,3,3,,0
36,21994,467,0029400607,"FEB 07, 1995",DAL vs. PHX,L,29,4,9,0.444,1,3,0.333,2,4,0.5,1,6,7.0,7,1,1,3,2,11,,0
37,21994,467,0029400594,"FEB 04, 1995",DAL vs. UTH,W,38,5,15,0.333,2,3,0.667,4,4,1.0,2,3,5.0,9,1,0,6,2,16,,0
38,21994,467,0029400587,"FEB 03, 1995",DAL vs. SAN,L,25,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4.0,5,1,0,3,1,2,,0
39,21994,467,0029400546,"JAN 28, 1995",DAL vs. SAC,L,37,3,7,0.429,0,4,0.0,0,4,0.0,1,4,5.0,5,2,0,5,2,6,,0
40,21994,467,0029400541,"JAN 27, 1995",DAL vs. MIN,L,28,1,5,0.2,0,2,0.0,1,3,0.333,0,2,2.0,7,0,0,2,1,3,,0
41,21994,467,0029400520,"JAN 24, 1995",DAL @ SAC,L,46,10,18,0.556,3,10,0.3,0,1,0.0,3,3,6.0,12,3,1,1,3,23,,0
42,21994,467,0029400510,"JAN 23, 1995",DAL @ UTH,L,38,4,8,0.5,2,4,0.5,5,6,0.833,0,2,2.0,5,2,0,5,4,15,,0
43,21994,467,0029400500,"JAN 21, 1995",DAL vs. SEA,L,26,1,4,0.25,0,0,0.0,1,2,0.5,4,2,6.0,8,0,0,2,1,3,,0
44,21994,467,0029400493,"JAN 20, 1995",DAL vs. NYK,L,30,1,2,0.5,0,0,0.0,1,2,0.5,0,1,1.0,1,0,0,1,4,3,,0
45,21994,467,0029400479,"JAN 18, 1995",DAL vs. ORL,L,32,3,6,0.5,0,0,0.0,0,0,0.0,0,7,7.0,5,3,0,7,2,6,,0
46,21994,467,0029400458,"JAN 15, 1995",DAL @ SAN,W,40,4,8,0.5,1,2,0.5,0,0,0.0,1,9,10.0,6,2,0,3,1,9,,0
47,21994,467,0029400454,"JAN 14, 1995",DAL vs. MIA,L,35,5,16,0.313,0,4,0.0,5,10,0.5,4,6,10.0,4,1,0,2,1,15,,0
48,21994,467,0029400435,"JAN 12, 1995",DAL @ DEN,L,29,4,7,0.571,1,3,0.333,2,3,0.667,1,3,4.0,5,2,0,3,0,11,,0
49,21994,467,0029400433,"JAN 11, 1995",DAL vs. LAC,W,39,7,12,0.583,1,4,0.25,6,9,0.667,1,4,5.0,12,2,0,1,3,21,,0
50,21994,467,0029400414,"JAN 09, 1995",DAL @ UTH,L,32,6,12,0.5,3,5,0.6,2,4,0.5,2,3,5.0,7,0,0,3,0,17,,0
51,21994,467,0029400396,"JAN 06, 1995",DAL vs. IND,W,40,6,14,0.429,1,4,0.25,2,2,1.0,4,4,8.0,10,4,0,2,1,15,,0
52,21994,467,0029400386,"JAN 05, 1995",DAL @ HOU,L,34,1,7,0.143,1,2,0.5,3,4,0.75,3,1,4.0,8,3,0,4,3,6,,0
53,21994,467,0029400371,"JAN 03, 1995",DAL vs. HOU,L,43,2,15,0.133,1,6,0.167,1,1,1.0,4,2,6.0,11,4,0,5,1,6,,0
54,21994,467,0029400360,"DEC 30, 1994",DAL vs. GOS,W,39,5,17,0.294,1,3,0.333,0,0,0.0,5,7,12.0,9,2,0,6,2,11,,0
55,21994,467,0029400340,"DEC 27, 1994",DAL vs. PHX,L,42,2,10,0.2,0,1,0.0,6,10,0.6,3,4,7.0,16,4,1,6,3,10,,0
56,21994,467,0029400328,"DEC 26, 1994",DAL @ PHX,L,38,4,8,0.5,0,1,0.0,0,0,0.0,2,5,7.0,11,4,0,6,4,8,,0
57,21994,467,0029400324,"DEC 23, 1994",DAL @ POR,L,28,2,5,0.4,0,2,0.0,0,2,0.0,1,3,4.0,4,1,1,3,2,4,,0
58,21994,467,0029400311,"DEC 22, 1994",DAL @ SEA,L,33,4,8,0.5,0,3,0.0,2,2,1.0,0,1,1.0,9,4,0,3,3,10,,0
59,21994,467,0029400297,"DEC 20, 1994",DAL @ GOS,W,40,7,14,0.5,1,6,0.167,4,6,0.667,2,3,5.0,10,1,1,1,3,19,,0
60,21994,467,0029400279,"DEC 17, 1994",DAL @ LAC,W,32,2,8,0.25,0,1,0.0,1,2,0.5,1,5,6.0,9,1,0,4,3,5,,0
61,21994,467,0029400269,"DEC 15, 1994",DAL vs. BOS,W,36,4,10,0.4,0,0,0.0,2,2,1.0,2,1,3.0,10,2,0,6,5,10,,0
62,21994,467,0029400250,"DEC 13, 1994",DAL vs. LAL,L,38,2,8,0.25,0,2,0.0,0,0,0.0,1,3,4.0,8,4,0,4,1,4,,0
63,21994,467,0029400235,"DEC 10, 1994",DAL vs. CHH,W,37,2,6,0.333,0,0,0.0,1,1,1.0,2,5,7.0,13,2,0,4,0,5,,0
64,21994,467,0029400217,"DEC 08, 1994",DAL vs. WAS,L,44,5,13,0.385,0,1,0.0,1,2,0.5,2,4,6.0,12,2,1,1,3,11,,0
65,21994,467,0029400206,"DEC 06, 1994",DAL @ SAN,W,45,3,9,0.333,0,1,0.0,4,4,1.0,2,5,7.0,13,5,1,2,2,10,,0
66,21994,467,0029400194,"DEC 03, 1994",DAL vs. UTH,L,32,1,10,0.1,1,5,0.2,0,0,0.0,2,1,3.0,3,2,0,4,3,3,,0
67,21994,467,0029400176,"DEC 01, 1994",DAL vs. DEN,L,33,3,10,0.3,0,3,0.0,1,3,0.333,2,3,5.0,5,4,0,3,1,7,,0
68,21994,467,0029400164,"NOV 29, 1994",DAL vs. MIN,W,38,2,9,0.222,0,1,0.0,7,10,0.7,5,3,8.0,4,2,0,2,4,11,,0
69,21994,467,0029400149,"NOV 26, 1994",DAL @ DEN,W,42,4,13,0.308,0,3,0.0,5,6,0.833,2,6,8.0,6,2,0,3,1,13,,0
70,21994,467,0029400142,"NOV 25, 1994",DAL vs. POR,W,37,4,6,0.667,0,0,0.0,5,6,0.833,1,2,3.0,10,4,0,4,4,13,,0
71,21994,467,0029400129,"NOV 23, 1994",DAL @ LAL,L,33,5,9,0.556,0,1,0.0,1,3,0.333,3,2,5.0,6,2,0,2,1,11,,0
72,21994,467,0029400105,"NOV 19, 1994",DAL vs. CHI,L,26,2,4,0.5,0,0,0.0,0,0,0.0,0,3,3.0,5,0,0,2,0,4,,0
73,21994,467,0029400086,"NOV 17, 1994",DAL vs. SAC,W,33,3,12,0.25,0,1,0.0,2,2,1.0,4,1,5.0,3,2,0,2,2,8,,0
74,21994,467,0029400076,"NOV 15, 1994",DAL @ MIA,L,33,2,11,0.182,1,8,0.125,0,0,0.0,1,1,2.0,5,2,1,1,2,5,,0
75,21994,467,0029400056,"NOV 12, 1994",DAL @ CHI,W,41,2,6,0.333,2,4,0.5,3,4,0.75,1,7,8.0,9,1,0,4,2,9,,0
76,21994,467,0029400049,"NOV 11, 1994",DAL @ PHL,W,41,7,11,0.636,1,3,0.333,4,4,1.0,3,6,9.0,5,2,0,3,1,19,,0
77,21994,467,0029400029,"NOV 08, 1994",DAL vs. DEN,L,38,2,12,0.167,0,4,0.0,1,1,1.0,4,8,12.0,6,2,1,0,3,5,,0
78,21994,467,0029400014,"NOV 05, 1994",DAL vs. NJN,W,35,3,10,0.3,0,1,0.0,4,6,0.667,1,8,9.0,11,3,0,3,4,10,,0
0,21995,467,0029501189,"APR 21, 1996",DAL @ SAN,W,43,6,21,0.286,3,7,0.429,6,8,0.75,2,8,10.0,15,3,0,2,1,21,,0
1,21995,467,0029501165,"APR 19, 1996",DAL @ PHX,L,40,14,23,0.609,4,5,0.8,5,6,0.833,2,6,8.0,10,2,0,9,1,37,,0
2,21995,467,0029501162,"APR 18, 1996",DAL vs. DEN,W,31,9,12,0.75,1,1,1.0,0,0,0.0,2,5,7.0,10,2,0,4,3,19,,0
3,21995,467,0029501147,"APR 16, 1996",DAL vs. LAL,L,39,3,7,0.429,1,4,0.25,0,0,0.0,0,6,6.0,10,3,0,4,2,7,,0
4,21995,467,0029501120,"APR 13, 1996",DAL @ HOU,L,44,7,21,0.333,1,5,0.2,3,4,0.75,4,5,9.0,15,3,1,4,3,18,,0
5,21995,467,0029501110,"APR 11, 1996",DAL @ POR,L,39,7,16,0.438,4,9,0.444,1,2,0.5,3,7,10.0,10,2,0,4,3,19,,0
6,21995,467,0029501097,"APR 09, 1996",DAL @ SAC,L,39,3,14,0.214,0,4,0.0,0,0,0.0,2,5,7.0,11,2,1,5,1,6,,0
7,21995,467,0029501084,"APR 08, 1996",DAL @ GOS,W,37,7,16,0.438,3,3,1.0,4,7,0.571,6,3,9.0,12,3,0,6,2,21,,0
8,21995,467,0029501073,"APR 06, 1996",DAL vs. LAC,W,39,10,18,0.556,4,5,0.8,0,1,0.0,2,4,6.0,5,2,0,5,1,24,,0
9,21995,467,0029501035,"APR 02, 1996",DAL vs. SAC,L,41,5,15,0.333,1,2,0.5,4,4,1.0,3,2,5.0,12,2,0,4,3,15,,0
10,21995,467,0029501025,"MAR 31, 1996",DAL vs. POR,L,25,2,9,0.222,0,1,0.0,0,0,0.0,0,2,2.0,10,2,2,3,0,4,,0
11,21995,467,0029501015,"MAR 29, 1996",DAL vs. SAN,L,42,4,16,0.25,0,2,0.0,1,2,0.5,3,7,10.0,9,0,0,3,0,9,,0
12,21995,467,0029501001,"MAR 27, 1996",DAL vs. HOU,W,43,8,25,0.32,2,5,0.4,4,5,0.8,3,2,5.0,11,1,0,1,3,22,,0
13,21995,467,0029500983,"MAR 25, 1996",DAL @ UTH,L,25,6,18,0.333,0,5,0.0,1,2,0.5,1,1,2.0,2,0,1,3,0,13,,0
14,21995,467,0029500978,"MAR 24, 1996",DAL vs. NYK,L,39,6,23,0.261,2,7,0.286,2,2,1.0,7,2,9.0,10,1,2,8,0,16,,0
15,21995,467,0029500963,"MAR 22, 1996",DAL vs. MIN,L,33,4,15,0.267,1,3,0.333,1,2,0.5,6,3,9.0,7,1,0,4,0,10,,0
16,21995,467,0029500940,"MAR 19, 1996",DAL vs. CLE,L,44,4,17,0.235,2,7,0.286,4,4,1.0,1,5,6.0,3,0,0,4,2,14,,0
17,21995,467,0029500921,"MAR 17, 1996",DAL @ POR,L,15,1,10,0.1,1,5,0.2,0,0,0.0,1,1,2.0,2,1,0,2,0,3,,0
18,21995,467,0029500910,"MAR 15, 1996",DAL @ SEA,L,29,5,16,0.313,1,6,0.167,3,6,0.5,5,2,7.0,8,2,0,4,3,14,,0
19,21995,467,0029500900,"MAR 14, 1996",DAL @ LAC,L,41,13,29,0.448,2,10,0.2,3,4,0.75,5,8,13.0,6,4,0,6,3,31,,0
20,21995,467,0029500891,"MAR 12, 1996",DAL vs. MIA,L,37,7,15,0.467,4,7,0.571,6,6,1.0,0,4,4.0,11,3,0,3,2,24,,0
21,21995,467,0029500879,"MAR 10, 1996",DAL @ TOR,L,33,7,15,0.467,1,6,0.167,0,2,0.0,5,5,10.0,6,4,0,4,3,15,,0
22,21995,467,0029500868,"MAR 09, 1996",DAL @ DET,L,43,6,23,0.261,2,7,0.286,1,2,0.5,6,4,10.0,8,0,0,0,1,15,,0
23,21995,467,0029500850,"MAR 07, 1996",DAL @ CHH,L,30,6,14,0.429,2,6,0.333,2,2,1.0,3,3,6.0,6,2,0,3,0,16,,0
24,21995,467,0029500843,"MAR 05, 1996",DAL vs. NJN,W,35,11,21,0.524,4,8,0.5,0,0,0.0,2,4,6.0,9,5,0,2,0,26,,0
25,21995,467,0029500827,"MAR 03, 1996",DAL vs. PHX,L,40,4,14,0.286,1,9,0.111,2,4,0.5,0,5,5.0,9,2,1,3,4,11,,0
26,21995,467,0029500812,"MAR 01, 1996",DAL @ VAN,W,40,7,20,0.35,0,4,0.0,5,8,0.625,5,2,7.0,16,1,0,4,1,19,,0
27,21995,467,0029500799,"FEB 29, 1996",DAL @ DEN,W,35,10,17,0.588,2,4,0.5,4,5,0.8,3,9,12.0,12,0,0,3,1,26,,0
28,21995,467,0029500783,"FEB 27, 1996",DAL vs. PHL,L,39,6,23,0.261,3,11,0.273,3,4,0.75,1,5,6.0,6,1,1,3,1,18,,0
29,21995,467,0029500768,"FEB 25, 1996",DAL vs. TOR,W,37,7,17,0.412,1,5,0.2,5,8,0.625,3,4,7.0,6,2,0,5,0,20,,0
30,21995,467,0029500758,"FEB 23, 1996",DAL vs. LAL,L,37,8,26,0.308,1,3,0.333,0,0,0.0,5,5,10.0,12,3,1,2,3,17,,0
31,21995,467,0029500741,"FEB 21, 1996",DAL vs. SAC,W,42,7,19,0.368,2,7,0.286,4,4,1.0,2,4,6.0,9,3,1,4,1,20,,0
32,21995,467,0029500728,"FEB 19, 1996",DAL vs. GOS,L,31,4,13,0.308,1,4,0.25,3,5,0.6,1,3,4.0,15,4,0,4,0,12,,0
33,21995,467,0029500705,"FEB 16, 1996",DAL @ LAL,L,35,2,12,0.167,2,7,0.286,0,0,0.0,5,2,7.0,12,1,1,7,1,6,,0
34,21995,467,0029500697,"FEB 15, 1996",DAL @ UTH,L,37,10,21,0.476,5,12,0.417,9,9,1.0,1,4,5.0,8,3,1,5,2,34,,0
35,21995,467,0029500685,"FEB 13, 1996",DAL @ HOU,L,35,6,14,0.429,1,5,0.2,2,2,1.0,2,4,6.0,11,3,0,7,1,15,,0
36,21995,467,0029500674,"FEB 08, 1996",DAL vs. UTH,W,49,6,17,0.353,3,10,0.3,5,9,0.556,0,4,4.0,25,4,0,5,4,20,,0
37,21995,467,0029500653,"FEB 06, 1996",DAL @ MIL,L,34,5,13,0.385,1,3,0.333,0,0,0.0,1,1,2.0,9,1,0,5,1,11,,0
38,21995,467,0029500649,"FEB 05, 1996",DAL @ MIN,L,44,10,16,0.625,2,3,0.667,0,0,0.0,1,1,2.0,9,0,0,4,3,22,,0
39,21995,467,0029500638,"FEB 03, 1996",DAL vs. MIN,L,44,8,17,0.471,6,10,0.6,4,6,0.667,4,3,7.0,8,4,1,5,2,26,,0
40,21995,467,0029500620,"FEB 01, 1996",DAL vs. SEA,W,47,14,22,0.636,5,8,0.625,3,6,0.5,2,7,9.0,8,4,1,5,1,36,,0
41,21995,467,0029500611,"JAN 30, 1996",DAL vs. LAC,W,48,8,19,0.421,3,6,0.5,2,4,0.5,6,10,16.0,16,2,0,8,2,21,,0
42,21995,467,0029500586,"JAN 27, 1996",DAL vs. POR,L,41,2,11,0.182,1,5,0.2,2,2,1.0,2,7,9.0,13,1,0,3,4,7,,0
43,21995,467,0029500573,"JAN 25, 1996",DAL vs. DET,L,44,4,19,0.211,2,7,0.286,1,2,0.5,2,6,8.0,12,1,0,0,0,11,,0
44,21995,467,0029500558,"JAN 23, 1996",DAL @ SAC,W,43,8,19,0.421,1,4,0.25,12,16,0.75,2,8,10.0,10,3,0,8,3,29,,0
45,21995,467,0029500549,"JAN 21, 1996",DAL @ SEA,L,41,9,24,0.375,1,7,0.143,3,6,0.5,5,3,8.0,8,2,0,3,2,22,,0
46,21995,467,0029500534,"JAN 19, 1996",DAL vs. BOS,W,34,9,14,0.643,0,0,0.0,5,9,0.556,1,5,6.0,12,4,0,4,1,23,,0
47,21995,467,0029500499,"JAN 15, 1996",DAL vs. ORL,W,41,4,13,0.308,1,6,0.167,11,12,0.917,2,5,7.0,14,3,0,3,2,20,,0
48,21995,467,0029500492,"JAN 13, 1996",DAL vs. CHH,L,36,5,12,0.417,2,4,0.5,1,2,0.5,5,5,10.0,11,1,0,7,4,13,,0
49,21995,467,0029500484,"JAN 12, 1996",DAL @ PHX,W,50,9,14,0.643,1,3,0.333,14,14,1.0,3,9,12.0,16,1,1,6,4,33,,0
50,21995,467,0029500460,"JAN 09, 1996",DAL vs. IND,L,36,6,18,0.333,1,4,0.25,3,4,0.75,4,5,9.0,7,0,0,1,4,16,,0
51,21995,467,0029500452,"JAN 07, 1996",DAL @ BOS,W,41,9,20,0.45,2,3,0.667,9,12,0.75,3,2,5.0,10,2,0,7,2,29,,0
52,21995,467,0029500438,"JAN 05, 1996",DAL @ NJN,L,35,3,14,0.214,2,6,0.333,2,2,1.0,1,4,5.0,12,4,0,4,4,10,,0
53,21995,467,0029500431,"JAN 04, 1996",DAL @ WAS,L,37,5,18,0.278,1,4,0.25,2,2,1.0,1,2,3.0,7,0,0,5,2,13,,0
54,21995,467,0029500414,"JAN 02, 1996",DAL vs. UTH,L,37,6,13,0.462,4,5,0.8,7,10,0.7,3,2,5.0,9,3,0,5,2,23,,0
55,21995,467,0029500410,"DEC 30, 1995",DAL vs. HOU,L,42,7,16,0.438,0,3,0.0,2,2,1.0,1,3,4.0,15,1,1,2,3,16,,0
56,21995,467,0029500388,"DEC 28, 1995",DAL vs. VAN,W,40,6,20,0.3,3,6,0.5,6,8,0.75,3,7,10.0,6,4,1,7,4,21,,0
57,21995,467,0029500373,"DEC 26, 1995",DAL @ DEN,L,33,4,11,0.364,0,1,0.0,1,1,1.0,3,0,3.0,8,4,0,3,4,9,,0
58,21995,467,0029500355,"DEC 23, 1995",DAL @ MIN,L,36,4,16,0.25,0,5,0.0,1,3,0.333,1,3,4.0,14,1,0,7,2,9,,0
59,21995,467,0029500347,"DEC 22, 1995",DAL @ IND,L,37,3,15,0.2,1,4,0.25,2,6,0.333,1,3,4.0,10,5,1,3,3,9,,0
60,21995,467,0029500312,"DEC 16, 1995",DAL vs. PHX,L,42,6,17,0.353,2,4,0.5,1,4,0.25,0,2,2.0,8,3,0,7,4,15,,0
61,21995,467,0029500293,"DEC 14, 1995",DAL vs. SAN,L,35,7,15,0.467,2,4,0.5,1,1,1.0,3,3,6.0,11,2,0,1,1,17,,0
62,21995,467,0029500282,"DEC 12, 1995",DAL vs. SEA,W,43,2,14,0.143,1,5,0.2,2,4,0.5,3,8,11.0,18,2,2,1,3,7,,0
63,21995,467,0029500258,"DEC 09, 1995",DAL vs. WAS,L,28,4,10,0.4,1,2,0.5,0,0,0.0,1,0,1.0,3,1,0,3,2,9,,0
64,21995,467,0029500235,"DEC 06, 1995",DAL @ PHL,L,31,3,12,0.25,1,3,0.333,2,2,1.0,3,6,9.0,5,3,0,5,2,9,,0
65,21995,467,0029500229,"DEC 05, 1995",DAL @ NYK,L,34,6,16,0.375,1,4,0.25,0,0,0.0,4,2,6.0,6,1,0,7,2,13,,0
66,21995,467,0029500220,"DEC 03, 1995",DAL @ CLE,L,44,4,9,0.444,0,1,0.0,1,2,0.5,1,2,3.0,11,2,0,4,2,9,,0
67,21995,467,0029500207,"DEC 01, 1995",DAL @ ATL,W,36,4,9,0.444,0,1,0.0,0,2,0.0,1,7,8.0,8,2,0,3,1,8,,0
68,21995,467,0029500199,"NOV 30, 1995",DAL @ ORL,L,24,2,10,0.2,0,4,0.0,1,2,0.5,2,5,7.0,5,6,0,0,1,5,,0
69,21995,467,0029500184,"NOV 28, 1995",DAL @ MIA,L,35,4,8,0.5,2,3,0.667,1,2,0.5,2,7,9.0,3,1,2,7,1,11,,0
70,21995,467,0029500158,"NOV 24, 1995",DAL vs. DEN,L,44,4,12,0.333,0,3,0.0,3,6,0.5,2,6,8.0,11,4,0,1,4,11,,0
71,21995,467,0029500136,"NOV 21, 1995",DAL vs. CHI,L,47,9,22,0.409,2,6,0.333,5,9,0.556,8,7,15.0,11,6,0,3,3,25,,0
72,21995,467,0029500122,"NOV 18, 1995",DAL @ GOS,L,37,7,15,0.467,1,1,1.0,2,2,1.0,2,4,6.0,10,0,0,4,2,17,,0
73,21995,467,0029500107,"NOV 17, 1995",DAL @ LAC,L,41,4,16,0.25,1,6,0.167,3,6,0.5,2,6,8.0,10,1,0,1,1,12,,0
74,21995,467,0029500095,"NOV 15, 1995",DAL @ LAL,L,33,3,10,0.3,1,4,0.25,0,4,0.0,0,7,7.0,10,1,0,5,0,7,,0
75,21995,467,0029500081,"NOV 13, 1995",DAL @ VAN,W,37,7,15,0.467,3,7,0.429,8,10,0.8,4,7,11.0,7,1,1,2,2,25,,0
76,21995,467,0029500073,"NOV 11, 1995",DAL vs. ATL,L,32,4,16,0.25,2,7,0.286,3,3,1.0,1,1,2.0,12,2,0,6,4,13,,0
77,21995,467,0029500055,"NOV 09, 1995",DAL vs. MIL,W,33,8,15,0.533,4,8,0.5,2,2,1.0,0,2,2.0,7,1,2,3,0,22,,0
78,21995,467,0029500031,"NOV 07, 1995",DAL vs. VAN,W,26,6,14,0.429,1,2,0.5,2,2,1.0,0,4,4.0,5,3,0,3,2,15,,0
79,21995,467,0029500015,"NOV 04, 1995",DAL vs. GOS,W,33,2,5,0.4,0,2,0.0,1,2,0.5,3,1,4.0,11,2,0,4,3,5,,0
80,21995,467,0029500011,"NOV 03, 1995",DAL @ SAN,W,35,11,17,0.647,0,1,0.0,5,8,0.625,2,7,9.0,8,3,0,4,0,27,,0
0,21996,467,0029601179,"APR 19, 1997",PHX vs. VAN,L,45,3,7,0.429,0,2,0.0,1,3,0.333,1,7,8.0,13,5,1,1,0,7,-20,0
1,21996,467,0029601172,"APR 18, 1997",PHX @ SAS,W,43,5,11,0.455,1,3,0.333,0,2,0.0,0,5,5.0,10,4,1,2,0,11,15,0
2,21996,467,0029601149,"APR 15, 1997",PHX vs. UTA,L,46,12,22,0.545,3,7,0.429,1,1,1.0,1,6,7.0,11,1,0,2,3,28,-8,0
3,21996,467,0029601136,"APR 13, 1997",PHX @ GSW,W,47,3,13,0.231,2,7,0.286,5,6,0.833,0,2,2.0,5,3,0,1,3,13,8,0
4,21996,467,0029601121,"APR 11, 1997",PHX @ LAL,L,41,3,9,0.333,1,3,0.333,0,0,0.0,2,2,4.0,10,1,2,1,2,7,-26,0
5,21996,467,0029601114,"APR 10, 1997",PHX @ SAC,W,33,4,13,0.308,3,6,0.5,0,2,0.0,1,4,5.0,9,3,0,3,2,11,-5,0
